~Version	Information	Section															
	VERS.	3.0	:														
	WRAP.	NO	:														
	DLM	.	Comma	:													
	MERG.	YES	:Data	merged	using	LAS	tools	(www.logtechcan.com)									
~Well	Information	Section															
#MNEM.UNIT	VALUE/NAME	DESCRIPTION															
#----.----	----------------------------------	--------------------															
	STRT.M	1720.4000	:														
	STOP.M	2382.8000	:														
	STEP.M	0.2000	:														
	NULL.	-999.2500	:														
	COMP.	:															
	WELL.	1551	:														
	FLD	.	:														
	LOC	.	:														
	SRVC.	:															
	DATE.	Sep	21/2016	:													
	CTRY.	:															
	PROV.	:															
	UWI	.	:														
	LIC	.	:														
	LATI.	:															
	LONG.	:															
	GDAT.	NAD83	:														
~Curve	Information	Section															
#MNEM	.UNIT	API	CODE	CURVE	DESCRIPTION												
#----	.----	LG--CV-CL--M	-------------------------														
	1801.4000	40.1667	июл.40	1642.0895													
	1801.6000	40.7979	8.0585	1642.2810													
	1801.8000	40.6132	авг.88	1642.4724													
	1802.0000	39.9135	авг.59	1642.6639													
	1802.2000	39.0586	авг.84	1642.8554													
	1802.4000	38.3653	авг.14	1643.0468													
	1802.6000	38.0290	9.0834	1643.2383													
	1802.8000	38.0834	сен.94	1643.4298													
	1803.0000	38.3946	сен.45	1643.6212													
	1803.2000	38.6907	сен.08	1643.8127													
	1803.4000	38.6607	окт.99	1644.0041													
	1803.6000	38.1560	11.0609	1644.1956													
	1803.8000	37.3411	ноя.19	1644.3871													
	1804.0000	36.0771	ноя.63	1644.5785													
	1804.2000	31.0000	ноя.80	1644.7700													
	1804.4000	37.0137	ноя.98	1644.9602													
	1804.6000	38.7490	11.0314	1645.1505													
	1804.8000	38.6202	сен.78	1645.3407													
	1805.0000	38.2050	авг.04	1645.5310													
	1805.2000	38.3197	июл.47	1645.7212													
	1805.4000	39.0387	июн.37	1645.9114													
	1805.6000	39.9571	июн.70	1646.1017													
	1805.8000	40.5923	7.0544	1646.2919													
	1806.0000	40.7000	июл.11	1646.4821													
	1806.2000	40.3585	сен.47	1646.6724													
	1806.4000	39.8416	ноя.32	1646.8626													
	1806.6000	39.4074	14.8964	1647.0529													
	1806.8000	39.1490	18.3643	1647.2431													
	1807.0000	38.9816	21.8583	1647.4333													
	1807.2000	38.7366	24.7634	1647.6236													
	1807.4000	38.2592	26.4196	1647.8138													
	1807.6000	37.4358	26.3498	1648.0040													
	1807.8000	36.1815	24.5277	1648.1943													
	1808.0000	34.5418	21.4849	1648.3845													
	1808.2000	32.9040	18.1443	1648.5748													
	1808.4000	31.2381	16.8393	1648.7650													
	1808.6000	30.9201	21.5782	1648.9552													
	1808.8000	31.7204	22.8664	1649.1455													
	1809.0000	32.9045	21.9981	1649.3357													
	1809.2000	34.1337	20.3978	1649.5260													
	1809.4000	35.1453	18.8769	1649.7162													
	1809.6000	35.7625	17.8303	1649.9064													
	1809.8000	35.9631	17.4196	1650.0967													
	1810.0000	35.8466	17.6675	1650.2869													
	1810.2000	35.5334	18.5054	1650.4771													
	1810.4000	35.0962	19.8023	1650.6674													
	1810.6000	34.5668	21.3914	1650.8576													
	1810.8000	33.9892	23.0933	1651.0479													
	1811.0000	33.4379	24.7363	1651.2381													
	1811.2000	32.9589	26.1682	1651.4283													
	1811.4000	32.4733	27.2602	1651.6186													
	1811.6000	31.7752	27.9037	1651.8088													
	1811.8000	30.7341	28.0044	1651.9990													
	1812.0000	29.6218	27.4769	1652.1893													
	1812.2000	29.0171	26.2531	1652.3795													
	1812.4000	27.9915	24.2976	1652.5698													
	1812.6000	26.6841	21.4953	1652.7600													
	1812.8000	26.6623	19.0351	1652.9502													
	1813.0000	26.4095	17.2407	1653.1405													
	1813.2000	25.8983	16.2916	1653.3307													
	1813.4000	25.2367	16.2016	1653.5210													
	1813.6000	24.5480	16.8469	1653.7112													
	1813.8000	23.9686	18.0143	1653.9014													
	1814.0000	23.6200	19.4631	1654.0917													
	1814.2000	23.6044	20.9779	1654.2819													
	1814.4000	24.0312	22.4057	1654.4721													
	1814.6000	25.0281	23.6708	1654.6624													
	1814.8000	26.6875	24.7659	1654.8526													
	1815.0000	28.9622	25.7311	1655.0429													
	1815.2000	31.5841	26.6247	1655.2331													
	1815.4000	34.0789	27.4899	1655.4233													
	1815.6000	35.8927	28.3269	1655.6136													
	1815.8000	36.5094	29.0641	1655.8038													
	1816.0000	35.4631	29.5537	1655.9940													
	1816.2000	32.3192	29.6208	1656.1843													
	1816.4000	27.3293	29.2391	1656.3745													
	1816.6000	28.5208	28.7037	1656.5648													
